cat > /mnt/user-data/outputs/GITHUB_ULTIMATE_ARSENAL.md << 'ENDOFFILE'
# 🌌 GITHUB ULTIMATE ARSENAL — A to Z Complete List
## 300+ Most Powerful Open Source AI Tools (2026)
**Research Level:** Top 0.1% | **Coverage:** Every Category | **Goal:** Beat Everyone

> ⚡ **HOW TO USE:** Har repo ke saath GitHub link + stars + use case hai.
> Apne project mein integrate karte jao — OMNISCIENT ban jaayega!

---

## 📑 TABLE OF CONTENTS
```
01. AI Foundations & Core Frameworks
02. Local LLM & Inference Engines
03. Agent Frameworks
04. RAG Frameworks
05. Fine-tuning & Training
06. Vector Databases
07. Knowledge Graphs
08. Memory Systems
09. Dataset Tools
10. Evaluation & Benchmarks
11. Observability & Monitoring
12. Web UI & Chat Interfaces
13. API & Deployment
14. Code Execution & Dev Tools
15. Browser & Web Automation
16. MCP Servers & Protocol
17. Image Generation
18. Speech & Audio
19. Video Generation
20. Multimodal Models
21. Safety & Guardrails
22. Search & Data Collection
23. MLOps & Infrastructure
24. Robotics & Embodied AI
25. Learning Resources & Roadmaps
26. Awesome Meta-Lists
```

---

## ══════════════════════════════════════
## 01. AI FOUNDATIONS & CORE FRAMEWORKS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
| 37 | **Koboldcpp** | [LostRuins/koboldcpp](https://github.com/LostRuins/koboldcpp) | 5K+ | Feature-rich llama.cpp fork |
| 38 | **LiteLLM** | [BerriAI/litellm](https://github.com/BerriAI/litellm) | 18K+ | 100+ LLMs with one interface |
| 39 | **OpenRouter SDK** | [openrouter-ai/openrouter-python](https://github.com/OpenRouterTeam/openrouter-python) | 1K+ | 200+ models, one API |
| 40 | **Liger Kernel** | [linkedin/Liger-Kernel](https://github.com/linkedin/Liger-Kernel) | 5K+ | Efficient Triton kernels for training |

---

## ══════════════════════════════════════
## 03. AGENT FRAMEWORKS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 41 | **Hermes Agent** | [NousResearch/hermes-agent](https://github.com/NousResearch/hermes-agent) | 140K+ | 🏆 Self-improving AI agent, world #1 |
| 42 | **AutoGPT** | [Significant-Gravitas/AutoGPT](https://github.com/Significant-Gravitas/AutoGPT) | 180K+ | Autonomous AI agent pioneer |
| 43 | **OpenClaw** | [openclawai/openclaw](https://github.com/openclawai/openclaw) | 210K+ | Fastest-growing agent ever |
| 44 | **CrewAI** | [crewAIInc/crewAI](https://github.com/crewAIInc/crewAI) | 30K+ | Role-based multi-agent framework |
| 45 | **AutoGen (Microsoft)** | [microsoft/autogen](https://github.com/microsoft/autogen) | 40K+ | Conversational multi-agent |
| 46 | **Smolagents (HuggingFace)** | [huggingface/smolagents](https://github.com/huggingface/smolagents) | 15K+ | ~1000 lines minimal agent |
| 47 | **OpenAI Agents SDK** | [openai/openai-agents-python](https://github.com/openai/openai-agents-python) | 27K+ | Multi-agent workflows |
| 48 | **SuperAGI** | [TransformerOptimus/SuperAGI](https://github.com/TransformerOptimus/SuperAGI) | 15K+ | Open-source AGI infrastructure |
| 49 | **MetaGPT** | [geekan/MetaGPT](https://github.com/geekan/MetaGPT) | 48K+ | Software company simulation |
| 50 | **AgentGPT** | [reworkd/AgentGPT](https://github.com/reworkd/AgentGPT) | 31K+ | Browser-based agent |
| 51 | **Open Interpreter** | [OpenInterpreter/open-interpreter](https://github.com/OpenInterpreter/open-interpreter) | 57K+ | LLM executes code locally |
| 52 | **Pydantic AI** | [pydantic/pydantic-ai](https://github.com/pydantic/pydantic-ai) | 8K+ | Type-safe AI agents |
| 53 | **Agno** | [agno-agi/agno](https://github.com/agno-agi/agno) | 25K+ | No.1 GitHub trending Feb 2026 |
| 54 | **Dify** | [langgenius/dify](https://github.com/langgenius/dify) | 114K+ | Production-ready agent platform |
| 55 | **Langflow** | [langflow-ai/langflow](https://github.com/langflow-ai/langflow) | 50K+ | Visual drag-drop agent builder |
| 56 | **Flowise** | [FlowiseAI/Flowise](https://github.com/FlowiseAI/Flowise) | 35K+ | No/low-code LangChain UI |
| 57 | **n8n** | [n8n-io/n8n](https://github.com/n8n-io/n8n) | 150K+ | AI workflow automation |
| 58 | **Vertex AI Agent Builder** | Open Google product | — | Enterprise agent platform |
| 59 | **Semantic Kernel** | [microsoft/semantic-kernel](https://github.com/microsoft/semantic-kernel) | 23K+ | Microsoft AI SDK |
| 60 | **TaskWeaver** | [microsoft/TaskWeaver](https://github.com/microsoft/TaskWeaver) | 5K+ | Code-first agent framework |
| 61 | **BabyAGI** | [yoheinakajima/babyagi](https://github.com/yoheinakajima/babyagi) | 20K+ | Task management AI |
| 62 | **AgentBench** | [THUDM/AgentBench](https://github.com/THUDM/AgentBench) | 2K+ | Agent evaluation benchmark |
| 63 | **OpenAgent** | open-source | — | Computer-use + browser-use |
| 64 | **Letta (MemGPT)** | [cpacker/MemGPT](https://github.com/letta-ai/letta) | 13K+ | LLMs with long-term memory |
| 65 | **Atomic Agents** | [BrainBlend-AI/atomic-agents](https://github.com/BrainBlend-AI/atomic-agents) | 1K+ | Reliable agents in production |

---

## ══════════════════════════════════════
## 04. RAG FRAMEWORKS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 66 | **LightRAG** | [HKUDS/LightRAG](https://github.com/HKUDS/LightRAG) | 20K+ | Graph + Vector hybrid RAG |
| 67 | **RAGFlow** | [infiniflow/ragflow](https://github.com/infiniflow/ragflow) | 35K+ | Document-heavy RAG |
| 68 | **STORM** | [stanford-oval/storm](https://github.com/stanford-oval/storm) | 28K+ | Research → full report with citations |
| 69 | **Verba** | [weaviate/Verba](https://github.com/weaviate/Verba) | 6K+ | RAG chatbot with Weaviate |
| 70 | **AnythingLLM** | [Mintplex-Labs/anything-llm](https://github.com/Mintplex-Labs/anything-llm) | 35K+ | Local RAG workspace |
| 71 | **Cognita** | [truefoundry/cognita](https://github.com/truefoundry/cognita) | 3K+ | Modular RAG framework |
| 72 | **FlashRAG** | [RUC-NLPIR/FlashRAG](https://github.com/RUC-NLPIR/FlashRAG) | 2K+ | Toolkit for RAG research |
| 73 | **Advanced RAG Techniques** | [NirDiamant/RAG_Techniques](https://github.com/NirDiamant/RAG_Techniques) | 27K+ | 27+ RAG technique tutorials |
| 74 | **GraphRAG** | [microsoft/graphrag](https://github.com/microsoft/graphrag) | 22K+ | Microsoft graph-based RAG |
| 75 | **Kotaemon** | [Cinnamon/kotaemon](https://github.com/Cinnamon/kotaemon) | 20K+ | Document Q&A RAG tool |
| 76 | **Langchain-Chatchat** | [chatchat-space/Langchain-Chatchat](https://github.com/chatchat-space/Langchain-Chatchat) | 38K+ | Local RAG with Chinese LLMs |
| 77 | **Quivr** | [QuivrHQ/quivr](https://github.com/QuivrHQ/quivr) | 38K+ | AI second brain |
| 78 | **PrivateGPT** | [zylon-ai/private-gpt](https://github.com/zylon-ai/private-gpt) | 54K+ | 100% private, offline AI |
| 79 | **Txtai** | [neuml/txtai](https://github.com/neuml/txtai) | 10K+ | All-in-one embeddings database |
| 80 | **Pathway** | [pathwaycom/pathway](https://github.com/pathwaycom/pathway) | 6K+ | Real-time data + RAG |

---

## ══════════════════════════════════════
## 05. FINE-TUNING & TRAINING
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 81 | **Unsloth** | [unslothai/unsloth](https://github.com/unslothai/unsloth) | 50K+ | 2x faster, 50% less memory |
| 82 | **LLaMA-Factory** | [hiyouga/LlamaFactory](https://github.com/hiyouga/LlamaFactory) | 45K+ | 100+ LLMs, Web UI included |
| 83 | **Axolotl** | [axolotl-org/axolotl](https://github.com/axolotl-org/axolotl) | 10K+ | Production-grade fine-tuning |
| 84 | **TRL (HuggingFace)** | [huggingface/trl](https://github.com/huggingface/trl) | 12K+ | RLHF/DPO/PPO training |
| 85 | **OpenRLHF** | [OpenRLHF/OpenRLHF](https://github.com/OpenRLHF/OpenRLHF) | 8K+ | Scalable RLHF framework |
| 86 | **ORPO** | [xfactlab/orpo](https://github.com/xfactlab/orpo) | 1K+ | Odds Ratio Preference Optimization |
| 87 | **GPT-NeoX** | [EleutherAI/gpt-neox](https://github.com/EleutherAI/gpt-neox) | 7K+ | Large-scale training |
| 88 | **NeMo Framework** | [NVIDIA/NeMo](https://github.com/NVIDIA/NeMo) | 13K+ | NVIDIA LLM training framework |
| 89 | **Lit-GPT** | [Lightning-AI/litgpt](https://github.com/Lightning-AI/litgpt) | 11K+ | Hackable LLM training |
| 90 | **EasyLM** | [young-geng/EasyLM](https://github.com/young-geng/EasyLM) | 3K+ | JAX-based training |
| 91 | **Alpaca-LoRA** | [tloen/alpaca-lora](https://github.com/tloen/alpaca-lora) | 19K+ | LoRA fine-tuning pioneer |
| 92 | **QLoRA** | [artidoro/qlora](https://github.com/artidoro/qlora) | 10K+ | 4-bit quantized LoRA |
| 93 | **Distilabel** | [argilla-io/distilabel](https://github.com/argilla-io/distilabel) | 5K+ | Synthetic data generation |
| 94 | **Argilla** | [argilla-io/argilla](https://github.com/argilla-io/argilla) | 4K+ | Data labeling for AI |
| 95 | **DataTrove** | [huggingface/datatrove](https://github.com/huggingface/datatrove) | 3K+ | Large-scale data processing |
| 96 | **RedPajama Data** | [togethercomputer/RedPajama-Data](https://github.com/togethercomputer/RedPajama-Data) | 4K+ | Open dataset for training |
| 97 | **Dolma** | [allenai/dolma](https://github.com/allenai/dolma) | 2K+ | 3T token open dataset |
| 98 | **Open Instruct** | [allenai/open-instruct](https://github.com/allenai/open-instruct) | 3K+ | Instruction tuning research |

---

## ══════════════════════════════════════
## 06. VECTOR DATABASES
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 99 | **ChromaDB** | [chroma-core/chroma](https://github.com/chroma-core/chroma) | 16K+ | ✅ Already using |
| 100 | **Qdrant** | [qdrant/qdrant](https://github.com/qdrant/qdrant) | 25K+ | Fast, production-ready |
| 101 | **Milvus** | [milvus-io/milvus](https://github.com/milvus-io/milvus) | 35K+ | Billion-scale vector DB |
| 102 | **Weaviate** | [weaviate/weaviate](https://github.com/weaviate/weaviate) | 12K+ | AI-native vector database |
| 103 | **FAISS** | [facebookresearch/faiss](https://github.com/facebookresearch/faiss) | 33K+ | Meta's similarity search |
| 104 | **LanceDB** | [lancedb/lancedb](https://github.com/lancedb/lancedb) | 5K+ | Serverless vector DB |
| 105 | **Pgvector** | [pgvector/pgvector](https://github.com/pgvector/pgvector) | 14K+ | PostgreSQL vector extension |
| 106 | **Vespa** | [vespa-engine/vespa](https://github.com/vespa-engine/vespa) | 6K+ | Enterprise search + vectors |
| 107 | **Marqo** | [marqo-ai/marqo](https://github.com/marqo-ai/marqo) | 4K+ | Tensor search engine |
| 108 | **Deep Lake** | [activeloopai/deeplake](https://github.com/activeloopai/deeplake) | 8K+ | Data lake for deep learning |

---

## ══════════════════════════════════════
## 07. KNOWLEDGE GRAPHS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 109 | **Graphiti** | [getzep/graphiti](https://github.com/getzep/graphiti) | 8K+ | 🔥 Temporal knowledge graph |
| 110 | **LightRAG** | [HKUDS/LightRAG](https://github.com/HKUDS/LightRAG) | 20K+ | Graph + Vector hybrid |
| 111 | **GraphRAG (Microsoft)** | [microsoft/graphrag](https://github.com/microsoft/graphrag) | 22K+ | Graph-based RAG by Microsoft |
| 112 | **NetworkX** | [networkx/networkx](https://github.com/networkx/networkx) | 15K+ | Pure Python graph library |
| 113 | **Neo4j Python** | [neo4j/neo4j-python-driver](https://github.com/neo4j/neo4j-python-driver) | 1K+ | Neo4j official Python driver |
| 114 | **PyG (PyTorch Geometric)** | [pyg-team/pytorch_geometric](https://github.com/pyg-team/pytorch_geometric) | 22K+ | Graph neural networks |
| 115 | **DGL** | [dmlc/dgl](https://github.com/dmlc/dgl) | 14K+ | Deep Graph Library |
| 116 | **Memary** | [kingjulio8238/Memary](https://github.com/kingjulio8238/Memary) | 1.5K+ | Memory via knowledge graph |
| 117 | **WhyHow** | [whyhow-ai/knowledge-graph-studio](https://github.com/whyhow-ai/knowledge-graph-studio) | 1K+ | Knowledge graph from docs |
| 118 | **nano-graphrag** | [gusye1234/nano-graphrag](https://github.com/gusye1234/nano-graphrag) | 3K+ | Simple GraphRAG implementation |

---

## ══════════════════════════════════════
## 08. MEMORY SYSTEMS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 119 | **mem0** | [mem0ai/mem0](https://github.com/mem0ai/mem0) | 25K+ | 🔥 Persistent AI memory layer |
| 120 | **Letta (MemGPT)** | [letta-ai/letta](https://github.com/letta-ai/letta) | 13K+ | LLMs with unlimited context |
| 121 | **Honcho** | [plastic-labs/honcho](https://github.com/plastic-labs/honcho) | 500+ | Dialectic user modeling |
| 122 | **Zep** | [getzep/zep](https://github.com/getzep/zep) | 3K+ | Long-term memory for AI |
| 123 | **A-MEM** | research paper impl | — | Agentic memory system |
| 124 | **Cognee** | [topoteretes/cognee](https://github.com/topoteretes/cognee) | 2K+ | Memory management for AI |
| 125 | **Membase** | memory system | — | Turn LLM into knowledge agent |
| 126 | **Cosmo** | memory framework | — | Context-aware memory |

---

## ══════════════════════════════════════
## 09. DATASET TOOLS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 127 | **Distilabel** | [argilla-io/distilabel](https://github.com/argilla-io/distilabel) | 5K+ | Pipeline for synthetic data |
| 128 | **HuggingFace Datasets** | [huggingface/datasets](https://github.com/huggingface/datasets) | 20K+ | 10,000+ datasets |
| 129 | **DataTrove** | [huggingface/datatrove](https://github.com/huggingface/datatrove) | 3K+ | Large-scale data pipeline |
| 130 | **Argilla** | [argilla-io/argilla](https://github.com/argilla-io/argilla) | 4K+ | Data annotation UI |
| 131 | **LabelStudio** | [HumanSignal/label-studio](https://github.com/HumanSignal/label-studio) | 21K+ | Data labeling platform |
| 132 | **Cleanlab** | [cleanlab/cleanlab](https://github.com/cleanlab/cleanlab) | 10K+ | Fix data quality issues |
| 133 | **Doccano** | [doccano/doccano](https://github.com/doccano/doccano) | 9K+ | Text annotation tool |
| 134 | **IDEFICS Dataset** | various | — | Multimodal datasets |
| 135 | **Dolma** | [allenai/dolma](https://github.com/allenai/dolma) | 2K+ | 3 trillion token dataset |
| 136 | **ShareGPT4** | Cleaned instruction data | — | High-quality conversations |
| 137 | **Open-Platypus** | [garage-bAInd/Open-Platypus](https://github.com/garage-bAInd/Open-Platypus) | 2K+ | STEM-focused dataset |

---

## ══════════════════════════════════════
## 10. EVALUATION & BENCHMARKS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 138 | **RAGAS** | [explodinggradients/ragas](https://github.com/explodinggradients/ragas) | 8K+ | RAG evaluation framework |
| 139 | **DeepEval** | [confident-ai/deepeval](https://github.com/confident-ai/deepeval) | 6K+ | pytest for LLMs |
| 140 | **LM Evaluation Harness** | [EleutherAI/lm-evaluation-harness](https://github.com/EleutherAI/lm-evaluation-harness) | 8K+ | Standard LLM benchmarks |
| 141 | **HELM** | [stanford-crfm/helm](https://github.com/stanford-crfm/helm) | 2K+ | Holistic evaluation |
| 142 | **TruthfulQA** | [sylinrl/TruthfulQA](https://github.com/sylinrl/TruthfulQA) | 2K+ | Truthfulness benchmark |
| 143 | **BIG-Bench** | [google/BIG-bench](https://github.com/google/BIG-bench) | 2K+ | Beyond imitation game |
| 144 | **SWE-Bench** | [princeton-nlp/SWE-bench](https://github.com/princeton-nlp/SWE-bench) | 2K+ | Software engineering benchmark |
| 145 | **AgentBench** | [THUDM/AgentBench](https://github.com/THUDM/AgentBench) | 2K+ | Agent evaluation |
| 146 | **MT-Bench** | LMSYS | — | Multi-turn chat evaluation |
| 147 | **OpenCompass** | [open-compass/opencompass](https://github.com/open-compass/opencompass) | 5K+ | Comprehensive LLM evaluator |

---

## ══════════════════════════════════════
## 11. OBSERVABILITY & MONITORING
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 148 | **Langfuse** | [langfuse/langfuse](https://github.com/langfuse/langfuse) | 8K+ | LLM observability platform |
| 149 | **Phoenix (Arize)** | [Arize-AI/phoenix](https://github.com/Arize-AI/phoenix) | 4K+ | AI observability |
| 150 | **PromptLayer** | [MagnivOrg/prompt-layer-library](https://github.com/MagnivOrg/prompt-layer-library) | 1K+ | Prompt versioning |
| 151 | **Weights & Biases** | [wandb/wandb](https://github.com/wandb/wandb) | 10K+ | ML experiment tracking |
| 152 | **MLflow** | [mlflow/mlflow](https://github.com/mlflow/mlflow) | 20K+ | ML lifecycle management |
| 153 | **TensorBoard** | [tensorflow/tensorboard](https://github.com/tensorflow/tensorboard) | 6K+ | Training visualization |
| 154 | **Helicone** | [Helicone/helicone](https://github.com/Helicone/helicone) | 2K+ | LLM monitoring |
| 155 | **Traceloop** | [traceloop/openllmetry](https://github.com/traceloop/openllmetry) | 2K+ | OpenTelemetry for LLMs |

---

## ══════════════════════════════════════
## 12. WEB UI & CHAT INTERFACES
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 156 | **Open WebUI** | [open-webui/open-webui](https://github.com/open-webui/open-webui) | 65K+ | ChatGPT UI for Ollama |
| 157 | **Gradio** | [gradio-app/gradio](https://github.com/gradio-app/gradio) | 35K+ | ML web UI in minutes |
| 158 | **Streamlit** | [streamlit/streamlit](https://github.com/streamlit/streamlit) | 37K+ | Data app framework |
| 159 | **Chainlit** | [Chainlit/chainlit](https://github.com/Chainlit/chainlit) | 8K+ | Build ChatGPT-like apps |
| 160 | **LibreChat** | [danny-avila/LibreChat](https://github.com/danny-avila/LibreChat) | 20K+ | Enhanced ChatGPT clone |
| 161 | **Lobe Chat** | [lobehub/lobe-chat](https://github.com/lobehub/lobe-chat) | 55K+ | Modern AI chat framework |
| 162 | **NextChat** | [ChatGPTNextWeb/NextChat](https://github.com/ChatGPTNextWeb/NextChat) | 78K+ | Cross-platform ChatGPT/Claude |
| 163 | **SillyTavern** | [SillyTavern/SillyTavern](https://github.com/SillyTavern/SillyTavern) | 10K+ | Advanced AI chat frontend |
| 164 | **Hollama** | [fmaclen/hollama](https://github.com/fmaclen/hollama) | 1K+ | Minimal Ollama web UI |
| 165 | **Msty** | [nicholasgasior/msty](https://github.com) | — | Local AI chat app |
| 166 | **Hermes Studio** | Already downloaded ✅ | — | Hermes Agent web UI |

---

## ══════════════════════════════════════
## 13. API & DEPLOYMENT
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 167 | **FastAPI** | [fastapi/fastapi](https://github.com/fastapi/fastapi) | 80K+ | Modern Python API framework |
| 168 | **BentoML** | [bentoml/BentoML](https://github.com/bentoml/BentoML) | 7K+ | ML deployment platform |
| 169 | **Ray Serve** | [ray-project/ray](https://github.com/ray-project/ray) | 35K+ | Scalable ML serving |
| 170 | **Triton Inference Server** | [triton-inference-server/server](https://github.com/triton-inference-server/server) | 8K+ | NVIDIA inference server |
| 171 | **TorchServe** | [pytorch/serve](https://github.com/pytorch/serve) | 4K+ | PyTorch model serving |
| 172 | **Seldon Core** | [SeldonIO/seldon-core](https://github.com/SeldonIO/seldon-core) | 4K+ | K8s ML deployment |
| 173 | **ONNX Runtime** | [microsoft/onnxruntime](https://github.com/microsoft/onnxruntime) | 15K+ | Cross-platform ML inference |
| 174 | **CTranslate2** | [OpenNMT/CTranslate2](https://github.com/OpenNMT/CTranslate2) | 4K+ | Fast transformer inference |
| 175 | **Modal** | [modal-labs/modal-client](https://github.com/modal-labs/modal-client) | 1K+ | Serverless GPU compute |

---

## ══════════════════════════════════════
## 14. CODE EXECUTION & DEV TOOLS
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
|---|------|--------|---------|-------------|
| 176 | **Claude Code** | [anthropics/claude-code](https://github.com/anthropics/claude-code) | 10K+ | Anthropic's coding agent |
| 177 | **Aider** | [paul-gauthier/aider](https://github.com/Aider-AI/aider) | 30K+ | AI pair programming |
| 178 | **Codebuff** | Already downloaded ✅ | — | AI code editing |
| 179 | **Cline** | [cline/cline](https://github.com/cline/cline) | 30K+ | VS Code AI agent |
| 180 | **Continue** | [continuedev/continue](https://github.com/continuedev/continue) | 22K+ | AI coding assistant |
| 181 | **Open Interpreter** | [OpenInterpreter/open-interpreter](https://github.com/OpenInterpreter/open-interpreter) | 57K+ | LLM runs code locally |
| 182 | **E2B** | [e2b-dev/e2b](https://github.com/e2b-dev/e2b) | 7K+ | Sandboxed code execution |
| 183 | **Plandex** | [plandex-ai/plandex](https://github.com/plandex-ai/plandex) | 10K+ | AI coding engine |
| 184 | **SWE-agent** | [princeton-nlp/SWE-agent](https://github.com/princeton-nlp/SWE-agent) | 14K+ | AI GitHub issue solver |
| 185 | **Agentless** | [OpenAutoCoder/Agentless](https://github.com/OpenAutoCoder/Agentless) | 2K+ | Agentless bug fixing |
| 186 | **Mentat** | [AbanteAI/mentat](https://github.com/AbanteAI/mentat) | 2K+ | Coding agent |
| 187 | **Sourcegraph Cody** | [sourcegraph/cody](https://github.com/sourcegraph/cody) | 3K+ | AI coding assistant |
| 188 | **Jupyter AI** | [jupyterlab/jupyter-ai](https://github.com/jupyterlab/jupyter-ai) | 3K+ | AI in Jupyter notebooks |

---

## ══════════════════════════════════════
## 15. BROWSER & WEB AUTOMATION
## ══════════════════════════════════════

| # | Name | GitHub | ⭐ Stars | Description |
